epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,417.46,1.28763,1.15992,1.22772,0.5849,0.46392,0.50408,0.28365,1.53529,1.32661,1.36733,0.009175,0.009175,0.009175
7,477.764,1.26333,1.10542,1.2108,0.65175,0.49192,0.55539,0.32346,1.44351,1.23069,1.30717,0.00901,0.00901,0.00901
8,538.938,1.24724,1.08333,1.1994,0.64153,0.4962,0.54362,0.31049,1.48135,1.27119,1.33961,0.008845,0.008845,0.008845
9,599.277,1.22436,1.04723,1.18763,0.60608,0.48653,0.5346,0.315,1.45171,1.26456,1.30974,0.00868,0.00868,0.00868
10,660.402,1.2189,1.0436,1.1782,0.66715,0.50108,0.56155,0.32329,1.46095,1.23537,1.31083,0.008515,0.008515,0.008515
11,722.28,1.19757,1.00491,1.16683,0.66311,0.51302,0.56469,0.3254,1.43355,1.19148,1.30502,0.00835,0.00835,0.00835
12,783.299,1.18483,1.00249,1.16067,0.63255,0.52311,0.5577,0.32234,1.44724,1.2303,1.31289,0.008185,0.008185,0.008185
13,844.194,1.16283,0.97369,1.15077,0.6951,0.49888,0.58394,0.33814,1.42343,1.18548,1.28917,0.00802,0.00802,0.00802
14,905.54,1.15369,0.94939,1.13979,0.66779,0.54064,0.59872,0.34736,1.39286,1.1499,1.27527,0.007855,0.007855,0.007855
15,968.021,1.14981,0.95424,1.1422,0.69502,0.52177,0.60197,0.35122,1.38726,1.13177,1.27453,0.00769,0.00769,0.00769
16,1028.32,1.12399,0.92683,1.13025,0.70272,0.55965,0.6267,0.36105,1.36812,1.09508,1.26376,0.007525,0.007525,0.007525
17,1089.61,1.11623,0.91094,1.12345,0.68663,0.52985,0.60146,0.35329,1.40397,1.12146,1.26852,0.00736,0.00736,0.00736
18,1150.83,1.11219,0.89875,1.12324,0.66958,0.56987,0.62917,0.36196,1.38345,1.08573,1.26517,0.007195,0.007195,0.007195
19,1213.71,1.0981,0.88006,1.11369,0.68463,0.52993,0.59925,0.34507,1.38103,1.12454,1.25697,0.00703,0.00703,0.00703
20,1274.38,1.08782,0.87613,1.10851,0.68079,0.53767,0.6014,0.35465,1.36046,1.12378,1.25595,0.006865,0.006865,0.006865
21,1335.18,1.09217,0.87886,1.10962,0.70727,0.55323,0.62242,0.36378,1.37667,1.06725,1.26079,0.0067,0.0067,0.0067
22,1395.99,1.08208,0.86278,1.10338,0.68997,0.55299,0.62771,0.36345,1.37264,1.06921,1.26106,0.006535,0.006535,0.006535
23,1458.03,1.06817,0.84815,1.0978,0.72109,0.55343,0.63375,0.37462,1.35791,1.0595,1.25858,0.00637,0.00637,0.00637
24,1519.49,1.05762,0.83086,1.09023,0.6973,0.5739,0.63887,0.37761,1.36041,1.0543,1.25198,0.006205,0.006205,0.006205
25,1580.84,1.05657,0.82763,1.0906,0.72146,0.54928,0.62541,0.37261,1.37299,1.07749,1.27143,0.00604,0.00604,0.00604
26,1640.88,1.05039,0.82001,1.08625,0.73227,0.55327,0.63212,0.38098,1.34434,1.04257,1.25069,0.005875,0.005875,0.005875
27,1702.01,1.04567,0.81301,1.08956,0.75537,0.56427,0.64569,0.38405,1.33807,1.03292,1.24191,0.00571,0.00571,0.00571
28,1763.37,1.03723,0.80588,1.08021,0.7138,0.56853,0.64196,0.37928,1.34273,1.05387,1.25177,0.005545,0.005545,0.005545
